denumire client,numar factura,total,rest plata,zona / agent
DRAGOSIN UNIVERSAL TRIUMPH SRL ORASTIE,DMEG 8959,1147.04,1147.04,Hunedoara
DRAGUSANU SRL HUNEDOARA,DMEG 8012,1270.68,461.97,Hunedoara
DRAGUSANU SRL HUNEDOARA,DMEG 8200,1169.94,1169.94,Hunedoara
DRAGUSANU SRL HUNEDOARA,DMEG 8292,443.82,443.82,Hunedoara
DRAGUSANU SRL HUNEDOARA,DMEG 8339,848.28,848.28,Hunedoara
DRAGUSANU SRL HUNEDOARA,DMEG 8456,1908.79,1908.79,Hunedoara
DRAGUSANU SRL HUNEDOARA,DMEG 8623,3337.92,3337.92,Hunedoara
DRAGUSANU SRL HUNEDOARA,DMEG 8727,949.96,949.96,Hunedoara
DRAGUSANU SRL HUNEDOARA,DMEG 8818,1343.4,1343.4,Hunedoara
DRAGUSANU SRL HUNEDOARA,DMEG 8878,452.3,452.3,Hunedoara
DRAGUSANU SRL HUNEDOARA,DMEG 8942,1697.98,1697.98,Hunedoara
DUPEX S.R.L. SEBES,DMEG 8914,234.16,234.16,Alba
ECAT AUTO S.R.L. ABRUD,DMEG 8872,4089.68,2589.68,Alba
ECODEP SERVICE SRL SAT DAIA ROMANA  DAIA ROM,DMEG 5760,628.8,262.78,Calin (G7 Depozit)
EMINENT EXPERT TOUR SRL HATEG,DMEG 7207,2232.2,1802.77,Hunedoara
EMINENT EXPERT TOUR SRL HATEG,DMEG 7329,591.96,591.96,Hunedoara
EMINENT EXPERT TOUR SRL HATEG,DMEG 7494,1182.92,1182.92,Hunedoara
EMINENT EXPERT TOUR SRL HATEG,DMEG 7698,1045.79,1045.79,Hunedoara
EMINENT EXPERT TOUR SRL HATEG,DMEG 7865,1170.74,1170.74,Hunedoara
EMINENT EXPERT TOUR SRL HATEG,DMEG 8891,1356.94,1356.94,Hunedoara
EPURE IOAN AUTO II CARPINIS,DMEG 8717,1727.3,1094.17,Alba
EPURE IOAN AUTO II CARPINIS,DMEG 8824,465.46,465.46,Alba
EPURE IOAN AUTO II CARPINIS,DMEG 8936,5074.25,5074.25,Alba
ERICH MOTOR SPORT S.R.L. HUNEDOARA,DMEG 4533,403.05,403.05,Hunedoara
FAVORIT BOA TRANS SRL BLAJ,DMEG 7776,922.4,422.4,Alba
FAVORIT BOA TRANS SRL BLAJ,DMEG 7899,586.18,586.18,Alba
FAVORIT BOA TRANS SRL BLAJ,DMEG 8152,443.82,443.82,Alba
FLORIMONA SRL DEVA,DMEG 8875,62.92,59.76,Hunedoara
FLORIMONA SRL DEVA,DMEG 8910,1357.87,1357.87,Hunedoara
